1783934046.7681882;Attended;0
1783934052.9497588;Attended;1
1783934059.7337544;Attended;0
1783934068.2884293;Attended;0
1783934078.277844;Attended;0
1783934084.523172;Attended;1
1783934094.123207;Attended;1
1783934108.4591718;Attended;0
1783934118.3525355;Attended;0
1783934132.3399978;Attended;0
1783934140.1604764;Attended;0
1783934152.5018928;Attended;0
1783934164.6458802;Attended;0
1783934177.9791903;Attended;0
1783934183.6965036;Attended;0
1783934196.325956;Attended;0
1783934210.5659328;Attended;0
1783934222.6139648;Attended;0
1783934237.966617;Attended;0
1783934248.1240137;Attended;1
1783934263.333335;Attended;1
1783934271.247718;Attended;1
1783934283.8603392;Attended;1
1783934290.379084;Attended;0
1783934300.605286;Attended;0
1783934315.8883495;Attended;1
1783934326.258432;Attended;0
1783934335.23613;Attended;0
1783934346.3102193;Attended;0
1783934355.3410077;Attended;0
1783934370.709131;Attended;0
1783934378.7421858;Attended;0
1783934392.5258098;Attended;0
1783934405.4077835;Attended;0
1783934420.2846334;Attended;0
1783934435.652081;Attended;0
1783934441.3702056;Attended;0
1783934451.2754834;Attended;1
1783934459.1377358;Attended;1
1783934469.9978504;Attended;1
1783934479.8068912;Attended;1
1783934488.3341703;Attended;0
1783934494.8967376;Attended;0
1783934502.31083;Attended;0
1783934514.0561154;Attended;0
1783934527.7002778;Attended;0
1783934534.9436388;Attended;1
1783934544.443221;Attended;0
1783934553.4147213;Attended;1
1783934568.8456275;Attended;1
1783934580.142546;Attended;0
1783934592.751394;Attended;0
1783934602.3098958;Attended;1
1783934609.793018;Attended;1
1783934622.1034336;Attended;0
1783934635.7098367;Attended;1
1783934649.8175054;Attended;0
1783934657.524856;Attended;0
1783934672.6352258;Attended;1
1783934683.6598709;Attended;1
1783934692.5192428;Attended;0
1783934698.731135;Attended;1
1783934705.6400805;Attended;0
1783934715.976747;Attended;1
1783934731.028349;Attended;0
1783934738.84215;Attended;1
1783934751.8509169;Attended;0
1783934764.550413;Attended;1
1783934770.4013562;Attended;1
1783934784.498161;Attended;0
1783934797.6777823;Attended;1
1783934809.5128157;Attended;0
1783934820.724141;Attended;0
1783934828.0792427;Attended;0
1783934842.5277884;Attended;1
1783934850.1708753;Attended;0
1783934863.3769195;Attended;0
1783934868.929003;Attended;1
1783934877.1963148;Attended;1
1783934891.5114596;Attended;0
1783934899.154503;Attended;0
1783934912.3710873;Attended;0
1783934926.142276;Attended;0
1783934934.7186673;Attended;1
1783934945.9884272;Attended;0
1783934957.4983368;Attended;0
1783934970.7256558;Attended;1
1783934976.699109;Attended;1
1783934982.6513822;Attended;0
1783934996.3319194;Attended;1
1783935006.044268;Attended;0
1783935012.028484;Attended;0
1783935023.5916345;Attended;0
